id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3258197,Large 1br Duplex in Heart of Upper East Side,16477306,Jeff,Manhattan,Upper East Side,40.76866,-73.95553,Entire home/apt,16,2,21,6/30/2019,1.69,1,9
4031809,Prewar classic NYC apartment.,20902552,Miquel,Manhattan,Washington Heights,40.83456,-73.94344,Private room,16,14,0,,,1,0
6301965,Beautiful SoHo Loft,655506,Silvia,Manhattan,SoHo,40.7234,-73.99967,Entire home/apt,16,3,3,1/8/2018,0.16,1,0
6364324,The Oasis.,33106693,Elena,Manhattan,Harlem,40.82159,-73.95013,Private room,16,2,43,7/1/2019,1.66,3,154
30353302,Room close to La Guardia Airport,227905146,Gladys,Queens,East Elmhurst,40.76185,-73.87392,Shared room,16,1,10,6/16/2019,1.36,1,0
36280646,"Cable and wfi, L/G included.",272872092,Chris,Queens,Forest Hills,40.73657,-73.85088,Entire home/apt,16,9,1,7/7/2019,1,1,322
2459916,"$455 Cozy 1bd, BKLYN Sublet March",12577771,Victor,Brooklyn,Bedford-Stuyvesant,40.68948,-73.93528,Private room,18,1,0,,,1,0
34228341,A.Hamilton(for GUYS only),51596474,Antony,Brooklyn,Bay Ridge,40.62638,-74.01837,Shared room,18,9,1,6/15/2019,1,12,0
15966074,Evergreen Upper Bed for Female Traveler ç´ç´„æ°‘å®¿,101491116,Tong,Brooklyn,Cypress Hills,40.68313,-73.87077,Shared room,19,2,76,6/20/2019,2.4,6,120
30489379,Calm bed. perfect for students and travelers.,111542307,Imoy,Brooklyn,Bedford-Stuyvesant,40.68622,-73.92639,Shared room,19,30,1,1/9/2019,0.17,2,339
22235441,"Safe, Overnight Crash Pad Near JFK, LGA and NYC",72838963,Deborah,Queens,Jamaica,40.68411,-73.79688,Shared room,19,1,26,6/10/2019,1.4,2,138
31341476,"Tight budget tours NYC? Cheap, Clean and close all",137501374,LKL Rental,Queens,Elmhurst,40.74038,-73.86964,Shared room,19,1,15,6/22/2019,2.78,3,236
17475107,Partitioned (shared) Cozy Studio in Pelham Bay,86108833,Jonathan,Bronx,Schuylerville,40.84034,-73.83007,Shared room,20,1,116,1/28/2019,4.09,1,5
23164537,Shared studio apartment,172186369,Elisheva,Bronx,Morris Heights,40.84718,-73.91378,Shared room,20,1,9,5/21/2018,0.53,1,0
30942778,Share a Lg Studio room* 2 blocks subway* Bronx Zoo,1532337,Monica,Bronx,Van Nest,40.84047,-73.87127,Shared room,20,14,1,5/8/2019,0.48,4,139
31032487,Share Lg studio rm b2*2 blocks subway *Bronx Zoo,1532337,Monica,Bronx,Van Nest,40.84119,-73.87049,Shared room,20,10,2,6/30/2019,0.32,4,114
31053045,Sleeper shared rm on subway bronx zoo 30m2NYC,1532337,Monica,Bronx,Van Nest,40.84087,-73.8699,Shared room,20,10,3,7/1/2019,0.68,4,25
34229869,Cozy Living Room Futon,27537930,Preston,Bronx,Pelham Gardens,40.86209,-73.84667,Shared room,20,1,0,,,1,5
5847182,Lefferts Gardens Brooklyn Room,30357478,Ingrid,Brooklyn,East Flatbush,40.65406,-73.9506,Private room,20,1,0,,,1,0
12657527,sunny room in NYC!,46047223,Sarah,Brooklyn,Crown Heights,40.66612,-73.93696,Shared room,20,1,0,,,1,0
16822398,!!!Co-Housing taken to the Next Level /Flatbush/2,2092314,Valentin,Brooklyn,East Flatbush,40.64471,-73.9495,Shared room,20,30,1,8/10/2018,0.09,7,365
17045913,Live Like a Local In GREENPOINT,40134417,Ben And Jane,Brooklyn,Greenpoint,40.73076,-73.95575,Entire home/apt,20,4,17,3/20/2018,0.58,1,0
17433291,Amazing Loft in the heart of Williamsburg,117941939,Daniel,Brooklyn,Williamsburg,40.71269,-73.96409,Private room,20,14,3,4/30/2018,0.11,1,277
21740858,Couch in Common Room Bushwick!,90721937,Hayden,Brooklyn,Bushwick,40.68772,-73.91386,Shared room,20,1,0,,,2,0
24119328,Charming Brooklyn Gem with Beautiful Views,8612450,Kareem,Brooklyn,Midwood,40.61379,-73.96826,Private room,20,3,4,5/31/2018,0.26,1,18
26721080,Private Room,44630233,George,Brooklyn,Williamsburg,40.7073,-73.92776,Private room,20,1,8,10/11/2018,0.73,1,1
29690801,Private room next to N train.,198021963,Onur,Brooklyn,Borough Park,40.61979,-73.98886,Private room,20,1,12,6/25/2019,1.66,1,14
31181911,Brooklyn apt 10 minutes to Manhattan by subway,129022496,Alan,Brooklyn,Bedford-Stuyvesant,40.68093,-73.94922,Private room,20,10,3,5/8/2019,0.57,2,17
31194144,Brooklyn apt 10 mins to Manhattan by subway,129022496,Alan,Brooklyn,Bedford-Stuyvesant,40.67872,-73.94805,Private room,20,10,8,7/1/2019,1.4,2,38
31660529,Calm bed great area.,111542307,Imoy,Brooklyn,Bedford-Stuyvesant,40.68694,-73.92732,Shared room,20,30,0,,,2,342
31691209,"All set for guys, donâ€™t miss out",51596474,Antony,Brooklyn,Gravesend,40.58453,-73.97172,Shared room,20,5,5,4/29/2019,1.01,12,0
31930706,Beautiful apartment in Gravesend(Girls share room),51596474,Antony,Brooklyn,Gravesend,40.58737,-73.96882,Shared room,20,7,2,4/21/2019,0.56,12,0
34601569,Shared Room 4 FEMALE Guests 30mins to Manhattan-1,172369331,Abby,Brooklyn,Sheepshead Bay,40.59842,-73.95667,Shared room,20,2,1,6/1/2019,0.77,10,342
34647648,Shared Apartment 1 bed in the living room Qsubway,172369331,Abby,Brooklyn,Sheepshead Bay,40.59932,-73.95936,Shared room,20,7,0,,,10,281
35009785,Shared room sofa bed (girls only),197368927,Cebile,Brooklyn,Sheepshead Bay,40.60911,-73.95257,Shared room,20,2,0,,,8,32
35606165,Luggage storage only No Beds Available.,267872829,Sonya,Brooklyn,Fort Hamilton,40.61819,-74.03296,Shared room,20,1,1,6/27/2019,1,1,353
36450814,FLATBUSH HANG OUT AND GO,267223765,Jarmel,Brooklyn,Flatbush,40.64922,-73.96078,Shared room,20,1,0,,,3,363
21935569,Tiny (but comfy!) Private room Manhattan,43352661,Charles,Manhattan,Washington Heights,40.84344,-73.93922,Private room,20,1,21,6/20/2019,1.1,3,291
22229244,Spacious cozy place in heart of nolita,16569491,Julian,Manhattan,Nolita,40.72184,-73.99452,Private room,20,14,9,6/26/2018,0.48,1,0
33932486,Shared Couch  in  Shared Studio,274333,Janu,Manhattan,Harlem,40.80298,-73.95375,Shared room,20,1,0,,,3,2
9238515,Cozy studio just off Main Street,48017685,Gonzalo,Queens,Flushing,40.7544,-73.82866,Shared room,20,3,3,1/25/2019,0.07,1,0
15819933,Gorgeous Spacious Bedroom In Ridgewood Queens,16494382,Mark,Queens,Ridgewood,40.70735,-73.89343,Private room,20,7,0,,,1,89
29489893,Beautiful furnished private studio with backyard,222098649,Melissa,Queens,Jamaica,40.68547,-73.79063,Entire home/apt,20,1,111,7/7/2019,13.11,1,41
375249,Enjoy Staten Island Hospitality,1887999,Rimma & Jim,Staten Island,Graniteville,40.62109,-74.16534,Private room,20,3,80,5/26/2019,0.92,1,226
22977021,Spacious Room4 Rent Near Hospital in Staten Island,46723570,Kartikeya,Staten Island,South Beach,40.5895,-74.09663,Shared room,20,4,1,2/2/2018,0.06,1,0
25909160,Simple Private Rm w/ Futon in the Bronx/ Storage,144119993,Charles,Bronx,Fordham,40.85801,-73.88247,Private room,21,1,9,8/5/2018,0.7,2,0
16161819,Cozy Room in a 2BR Apartment,83732495,Debbie,Brooklyn,East Flatbush,40.65221,-73.93634,Private room,21,5,4,4/30/2017,0.15,1,0
26753081,Trendy Nabe Bunk for travelers,201015598,Anchor,Brooklyn,Bedford-Stuyvesant,40.69124,-73.93911,Shared room,21,1,35,6/20/2019,2.92,17,78
33002617,Room for 2  Per diem $50 rental up to 30 days max,248385708,Alexander,Brooklyn,Sheepshead Bay,40.60331,-73.95082,Private room,21,1,2,5/26/2019,1.02,1,90
21798411,Full mattress in the living room,47735494,Iris,Queens,Rego Park,40.72826,-73.87015,Shared room,21,1,11,4/21/2018,0.55,4,0
24207804,"NYC room-cozy, basic, clean, cheap & close to all",182488531,Kevin4,Queens,Elmhurst,40.73739,-73.86991,Shared room,21,1,21,6/16/2019,1.64,2,260
13920551,Vida Local,80974010,Lou,Bronx,Highbridge,40.83736,-73.92318,Private room,22,3,14,10/10/2017,0.39,1,42
35069663,Apartamento compartido NYC.,264182618,Jesus A,Bronx,Fordham,40.85743,-73.90233,Shared room,22,1,1,6/3/2019,0.83,1,11
16015571,Bright and Spacious Living Room.,39261381,Nathaniel,Brooklyn,Flatlands,40.62531,-73.93414,Shared room,22,1,20,7/3/2019,1.28,2,160
16465524,Shared Room in Brooklyn,40871485,Ajay,Brooklyn,Bay Ridge,40.63821,-74.0273,Shared room,22,5,1,1/14/2017,0.03,1,0
16834485,"! ! ! Coliving: live, work, create",2092314,Valentin,Brooklyn,East Flatbush,40.65151,-73.94957,Shared room,22,30,0,,,7,365
17831929,Apartment of Musicians in Ditmas Park,11136995,Gabriel,Brooklyn,Flatbush,40.64807,-73.96625,Private room,22,3,2,3/5/2018,0.08,1,0
22103438,Dee's Rest Easy,161468583,Dee,Brooklyn,Flatbush,40.64429,-73.95732,Entire home/apt,22,2,35,4/29/2019,1.83,1,312
22245972,Bed in shared room in Crown Heights,162554140,Tzvi,Brooklyn,Prospect-Lefferts Gardens,40.66208,-73.9443,Shared room,22,14,0,,,1,0
22683799,The place,3218951,Marko,Brooklyn,Prospect-Lefferts Gardens,40.65686,-73.95758,Private room,22,7,5,5/28/2019,0.3,1,5
30999358,Living room at prime location,96379433,Satish,Brooklyn,Sunset Park,40.65924,-73.99685,Shared room,22,1,5,1/14/2019,0.81,2,0
34228857,"B, Hamilton( For GUYS ONLY)",51596474,Antony,Brooklyn,Bay Ridge,40.62703,-74.01952,Shared room,22,5,0,,,12,0
3359315,Sublet near Columbia University,16948705,Berhani,Manhattan,Harlem,40.81742,-73.95358,Private room,22,10,3,8/8/2015,0.05,1,0
7760204,"LG, quiet room nr Cloisters, A, 1",8335684,Mary,Manhattan,Inwood,40.86274,-73.92842,Private room,22,1,13,1/2/2019,0.28,3,0
10685496,"Cozy shared space, heart of Astoria",18192996,Jessica And Danny,Queens,Ditmars Steinway,40.7794,-73.91646,Shared room,22,1,14,12/12/2016,0.34,2,0
17738717,Clean Cosy Bedroom w/Desk 10min to JFK & Big Mall,6166708,Christine & Einstein,Queens,Rosedale,40.65252,-73.73425,Private room,22,1,59,5/17/2019,2.1,1,0
27083575,Happy home 2,158178970,Raquel,Staten Island,Randall Manor,40.62972,-74.12539,Private room,22,1,21,7/4/2019,1.77,3,261
24421357,Private Clean Room near Yankee Stadium.,10534760,Lois,Bronx,Morrisania,40.83139,-73.90166,Private room,23,2,18,7/2/2019,1.25,1,36
22379163,Cozy room in a big apartment around Myrtle Ave,150891854,Jiyoung,Brooklyn,Bedford-Stuyvesant,40.69178,-73.9369,Private room,23,3,2,1/16/2018,0.11,1,0
22572695,Simple studio,48616155,Michelle,Brooklyn,Flatbush,40.64663,-73.96187,Shared room,23,1,57,6/23/2019,3.27,1,58
14138066,Mediterranean Style Charmer 20 mins to Manhattan,35910781,Zafir,Queens,Jackson Heights,40.74935,-73.88332,Shared room,23,1,0,,,1,0
20826953,Sublet for Oct (Phone number hidden by Airbnb) utilities included,149394434,Jeanette,Queens,Ridgewood,40.7025,-73.90985,Private room,23,1,0,,,1,0
22746368,Bed no.2 in the living room,47735494,Iris,Queens,Rego Park,40.72666,-73.87004,Shared room,23,1,13,4/2/2018,0.77,4,0
32589600,BED IN FAMILY HOUSE (ONLY WOMEN),215778245,Jessy & Christian,Queens,Corona,40.74147,-73.86753,Shared room,23,1,8,6/3/2019,2.12,6,308
29884848,private room for WOMEN ONLY near BX Little Italy,149306690,Kelcie,Bronx,Belmont,40.85504,-73.88394,Private room,24,1,4,6/24/2019,0.52,1,0
33112368,Ysa's room,249243301,Ysa,Bronx,Mount Hope,40.8477,-73.90988,Private room,24,2,2,5/1/2019,0.68,1,0
9768765,Room in quiet Brooklyn home,50369736,Benjamin,Brooklyn,Kensington,40.64637,-73.97863,Private room,24,18,1,1/29/2016,0.02,1,0
29541280,One block from subway: bed for traveler,201015598,Anchor,Brooklyn,Bedford-Stuyvesant,40.67745,-73.90958,Shared room,24,1,14,6/16/2019,1.65,17,89
30002830,Bunk bed spot one block from subway,201015598,Anchor,Brooklyn,Bedford-Stuyvesant,40.67916,-73.9114,Shared room,24,1,11,6/17/2019,1.49,17,85
33618303,The Pineapple tree (Girls shared room only),51596474,Antony,Brooklyn,Gravesend,40.58649,-73.97339,Shared room,24,11,2,5/2/2019,0.74,12,0
33666119,Alexander Hamilton( For Guys ONLY),51596474,Antony,Brooklyn,Bay Ridge,40.62329,-74.02136,Shared room,24,10,1,6/20/2019,1,12,0
34065823,"*female only* cozy room, summer sublet",32736976,Elien,Brooklyn,Sunset Park,40.64296,-74.0056,Private room,24,60,0,,,1,71
34286555,Comfortable Futon Couch in Brooklyn,10714931,Nick,Brooklyn,Crown Heights,40.67326,-73.95367,Shared room,24,5,7,7/1/2019,3.33,4,14
34856733,Large spacious room,20110967,Maria,Manhattan,Inwood,40.86025,-73.92647,Private room,24,10,0,,,1,145
30798396,Spacious room near airport LGA Manhattan & Gym :),137358866,Kazuya,Queens,Jackson Heights,40.74878,-73.8799,Private room,24,30,0,,,103,244
33926057,ONLY WOMEN/CAMAS PARA MUJER/HABITACIÃ“N COMPARTIDA,223087887,Jess & Ana,Queens,Corona,40.74116,-73.86667,Shared room,24,1,4,5/4/2019,1.52,8,346
33929577,"Couch(sofÃ¡cama), only women, near LGA & Manhattan",223087887,Jess & Ana,Queens,Corona,40.74086,-73.86618,Shared room,24,1,3,5/12/2019,1.11,8,332
4472904,Dorm Sz Room. Near 2 & 5 train 180 st Bronx zoo,1532337,Monica,Bronx,Van Nest,40.8423,-73.87055,Private room,25,30,6,5/28/2019,0.17,4,219
21172187,Large Private Room In Spacious Guest House,152353924,Dominique,Bronx,Parkchester,40.83555,-73.8757,Private room,25,3,38,7/2/2019,1.82,2,119
24231655,Humble Abode in the Bronx,37417547,Raquel,Bronx,Mount Eden,40.84197,-73.91292,Private room,25,2,2,5/19/2018,0.14,1,0
30527526,Pelham south,228773060,Reggae In,Bronx,Bronxdale,40.85398,-73.86451,Private room,25,2,1,12/14/2018,0.14,1,0
31568673,Large private room w/ 2 built-in closets,236631469,Paloma,Bronx,Williamsbridge,40.88449,-73.86227,Private room,25,30,0,,,1,85
33422954,Spacious Studio,251781156,Trinize,Bronx,Tremont,40.84581,-73.8889,Shared room,25,2,5,7/1/2019,1.6,1,146
36199363,Furnished room  for rent in Bronx SINGLE FEMALE,272247972,Kadeen,Bronx,Olinville,40.88116,-73.86547,Shared room,25,90,0,,,1,190
2431607,"Bright, Airy Room Share for 2",4973668,Gloria,Brooklyn,Bedford-Stuyvesant,40.68642,-73.9344,Shared room,25,5,76,6/6/2019,1.22,3,258
4093591,1 Room & 1 Bath,11090576,Michael,Brooklyn,Bushwick,40.69216,-73.90859,Private room,25,1,8,1/15/2015,0.14,1,0
6731373,Brooklyn Yellow,35086035,Sammy,Brooklyn,Crown Heights,40.66913,-73.93199,Private room,25,2,5,12/31/2018,0.27,1,158
6743346,Wildlife Loft Living room adventure,5556571,Chris,Brooklyn,Williamsburg,40.70645,-73.9379,Shared room,25,1,25,4/28/2019,0.5,3,358
8662610,Private Room - BedStuy - 2 Flr Unit,45513630,Thomas,Brooklyn,Bedford-Stuyvesant,40.69492,-73.94485,Private room,25,2,1,11/12/2015,0.02,1,0
8993857,Comfy place to stay in Brooklyn / Flatbush / 4,27974952,Alex,Brooklyn,East Flatbush,40.64601,-73.94886,Shared room,25,30,8,7/1/2017,0.18,7,343
9369514,STARTUP CHEAP PLACE BROOKLYN,27974952,Alex,Brooklyn,East Flatbush,40.64603,-73.94869,Shared room,25,30,5,5/8/2018,0.12,7,365
9990200,Artist Escape With Private Terrace,4878363,Jessie,Brooklyn,Bedford-Stuyvesant,40.68624,-73.94349,Private room,25,1,7,8/28/2018,0.19,2,8
10786987,Bright & Spacious living room,55813598,Karen,Brooklyn,Gravesend,40.6074,-73.97458,Shared room,25,3,119,7/2/2019,2.9,2,349
12422777,Large room in 3 bedroom apartment,26819014,Zuri,Brooklyn,Cypress Hills,40.67893,-73.89423,Private room,25,1,0,,,1,0
13868137,FEMALE ONLY,65846751,Luqian,Brooklyn,Sunset Park,40.64025,-74.01735,Private room,25,4,2,8/10/2016,0.06,1,0
13952801,Greenpoint Artist Loft,25938509,Ashley,Brooklyn,Greenpoint,40.72675,-73.94219,Private room,25,7,2,12/6/2016,0.06,1,0
14945585,"Furnished Room, with spacious backyard",94039418,Shawn,Brooklyn,Bushwick,40.69251,-73.92478,Private room,25,2,1,9/12/2016,0.03,1,0
15888899,Evergreen Cozy Bed for Female Travelers ç´ç´„æ°‘å®¿,101491116,Tong,Brooklyn,Cypress Hills,40.6825,-73.87165,Shared room,25,1,64,6/3/2019,2.02,6,0
16159444,YOUR IDEAL HOME / 20steps to Subway,27977412,Daria,Brooklyn,East Flatbush,40.64583,-73.9483,Shared room,25,30,10,7/12/2018,0.32,4,332
16164399,Lovely 3 Bedrm Apt Perfect for Groups & Families,1538057,Catherine,Brooklyn,Bedford-Stuyvesant,40.69501,-73.93363,Entire home/apt,25,2,50,6/15/2019,1.65,1,6
16314419,"Shared Living Space in Bushwick, Brooklyn",106756395,Monica,Brooklyn,Bedford-Stuyvesant,40.68937,-73.9226,Shared room,25,1,3,12/31/2016,0.1,2,0
18898808,BK's Finest Jack&Jill ShareRoom Close to Train/Bus,50600973,Joyell,Brooklyn,Bushwick,40.69674,-73.92972,Shared room,25,1,105,6/12/2019,4.22,7,82
19476630,Cozy self contained room with twin size bed,42561290,Carla,Brooklyn,East New York,40.66168,-73.86665,Private room,25,1,29,6/11/2019,1.17,4,319
20980756,Kosher Basement Apt. for men in Crown Heights,145858413,Yosef,Brooklyn,Crown Heights,40.66423,-73.94047,Private room,25,7,0,,,1,0
21471540,Charming Bushwick Shared Space,155923396,Kelly,Brooklyn,Bushwick,40.70031,-73.92848,Private room,25,2,35,4/30/2019,1.8,3,3
21497189,Room in Brownstone (Now Available),156175292,Gaby,Brooklyn,Bedford-Stuyvesant,40.6847,-73.92904,Private room,25,1,4,9/26/2018,0.19,1,34
21737594,Private Room in Bushwick!,90721937,Hayden,Brooklyn,Bushwick,40.68635,-73.91187,Private room,25,1,9,1/18/2018,0.45,2,0
22177388,Historic Crown Heights Cute Sunny Bedroom,1834034,Brittney,Brooklyn,Crown Heights,40.67206,-73.93446,Private room,25,4,7,6/4/2018,0.37,1,174
22638442,A Brief Welcome,22445332,Adrian,Brooklyn,Crown Heights,40.67157,-73.93434,Private room,25,1,1,1/17/2018,0.06,1,0
22942669,Cozy room for one in BedStuy,1398639,Juliet,Brooklyn,Bedford-Stuyvesant,40.6865,-73.93199,Private room,25,30,6,5/31/2019,0.58,3,207
23484328,BEAUTIFUL SUNNY ROOM!,6047516,Fejir,Brooklyn,Bushwick,40.68493,-73.90882,Private room,25,1,0,,,1,0
23634984,Shared male room with bunk beds for rent for MALE,176890090,Gani,Brooklyn,Crown Heights,40.67799,-73.94222,Shared room,25,2,13,4/30/2019,0.81,1,81
25776914,BROOKLYN Quiet Den,12219437,Alex,Brooklyn,Canarsie,40.64795,-73.89337,Private room,25,2,36,6/16/2019,2.76,1,144
26669041,A Cozy Single bed for Female Girls,200479961,Fei,Brooklyn,East New York,40.6757,-73.87657,Shared room,25,2,26,6/4/2019,2.25,1,50
26691677,Small 3rd story Room off BRKLYN-QUEENS Expressway,56616801,James,Brooklyn,Greenpoint,40.72414,-73.93967,Private room,25,1,4,10/29/2018,0.34,1,0
27612925,Shared room with bunk beds,208367810,Dan,Brooklyn,Borough Park,40.64047,-73.99687,Shared room,25,3,8,1/2/2019,0.77,4,88
28134807,"Girls House -  ""Dandelion"" Single Bed ç´ç´„æ°‘å®¿",101491116,Tong,Brooklyn,Cypress Hills,40.68276,-73.8708,Shared room,25,4,19,6/26/2019,1.91,6,16
28135693,"Girls House - ""Azalea"" Loft Upper Bed ç´ç´„æ°‘å®¿",101491116,Tong,Brooklyn,Cypress Hills,40.68385,-73.87088,Shared room,25,1,26,6/30/2019,2.57,6,23
28136026,"Girls House - ""Bauhinia"" Lower Bed ç´ç´„æ°‘å®¿",101491116,Tong,Brooklyn,Cypress Hills,40.68217,-73.8723,Shared room,25,1,25,6/19/2019,2.52,6,2
29059334,BSM.1. Shered room for 4-5 guests,215588687,Levi,Brooklyn,Prospect-Lefferts Gardens,40.66017,-73.9475,Shared room,25,2,4,6/7/2019,0.53,6,365
29059870,Hostel - Twin-sized Bed in Shared Room in Brooklyn,201813482,Nick,Brooklyn,Bushwick,40.70652,-73.91784,Shared room,25,4,14,6/5/2019,1.56,5,62
29060585,Hostel - Full-sized Bed in Shared Room in Brooklyn,201813482,Nick,Brooklyn,Bushwick,40.70431,-73.91584,Shared room,25,4,17,6/23/2019,1.88,5,80
29152795,Hostel- Twin-sized Bed in Shared Room in Brooklyn,201813482,Nick,Brooklyn,Bushwick,40.70442,-73.91707,Shared room,25,4,27,6/18/2019,3.01,5,49
29595432,BSM2. Shares basement,215588687,Levi,Brooklyn,Prospect-Lefferts Gardens,40.66192,-73.94668,Shared room,25,2,1,11/27/2018,0.13,6,365
30377021,Shared Room 4 FEMALE Guests 30mins to Manhattan-2,172369331,Abby,Brooklyn,Sheepshead Bay,40.5981,-73.9584,Shared room,25,7,2,6/1/2019,1.15,10,290
30402045,Large private room in 2nd floor apartment.,171673961,Eric,Brooklyn,Bedford-Stuyvesant,40.67896,-73.90892,Private room,25,2,2,1/1/2019,0.3,1,0
30423282,Lovely Aprt. 6 mins walk from Utica Av. Station,210427776,Obinna,Brooklyn,Crown Heights,40.67708,-73.92944,Private room,25,2,4,1/10/2019,0.59,1,0
30590921,Feels Like Home Near JFK and LGA,16608415,Smidty,Brooklyn,East New York,40.66745,-73.89217,Private room,25,1,25,6/26/2019,3.61,3,211
31144445,Room in Bensonhurst,232778333,Jaime,Brooklyn,Bensonhurst,40.61355,-73.99648,Private room,25,5,7,4/13/2019,1.23,2,175
32310733,Crash Space in BK for your NYC Adventure!,40146897,Eric,Brooklyn,Crown Heights,40.67302,-73.92134,Shared room,25,2,1,2/20/2019,0.21,5,29
32427203,Better Than Hostel semi-private artsy room,226314382,Dina,Brooklyn,Flatbush,40.65292,-73.95677,Shared room,25,1,8,4/7/2019,1.73,1,0
32857508,10 min to Manhattan: Cozy share,247189581,Helena,Brooklyn,Fort Greene,40.68637,-73.97431,Shared room,25,2,8,6/14/2019,1.95,5,32
32942981,Welcome in the Sam Suite (only for GUYS),51596474,Antony,Brooklyn,Gravesend,40.58462,-73.97155,Shared room,25,10,0,,,12,0
